RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
102001,0,United States,country,,0.9818181818181818,0.9837215838685964,0.987482701832823,0.9900783725195931,0.9923076923076923,0.9930689246558038,0.9909180992554478,0.9881422924901185,0.9864460636191215,0.9846153846153847,0.9834319526627219,0.9818303050508418,0.9805194805194806,0.9827044025157232,0.9853249475890985,0.9879116298457691,0.9899328859060402,0.9906542056074766,0.9896820383238577,0.9879425878521719,0.9866592551417455,0.9856733524355301,0.9850746268656716,0.9837678307919331,0.9818207320019013,0.9847668872134174,0.989136649514008,0.9925233644859813,0.9902912621359223,0.9924603785197723,0.9962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.003099464637926,1.0095238095238095,1.0067114093959733,1.0003334444814937,1.0,1.0,1.0,1.0,1.0,1.0,1.0034602076124568,1.0133333333333334,1.0141509433962264,1.0066815144766148,1.0,1.0,1.0,0.9939759036144579,0.9895615866388309,0.9856708277998498,0.9832635983263598,0.9867531765341985,0.994569877107745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933774834437086,0.9890909090909091,0.9869297387945427,0.9904534606205251,0.9973315543695798,1.0,1.0,1.0,1.0,0.9985250737463127,0.9943820224719101,0.9925373134328358,0.990625,0.9880239520958084,0.9855072463768116,0.9882352941176471,0.9915817041635564,0.9983831851253031,1.0,1.0,0.9941747572815534,0.9906249707030335,0.9886178861788618,0.9878072873348471,0.9872727272727273,0.9851851851851852,0.9830434782608696
394913,1,"New York, NY",msa,NY,0.9781815296731197,0.9762202753441802,0.9784615384615385,0.9795013183340582,0.9808102345415778,0.984182776801406,0.9838998211091234,0.983439583121628,0.9812962643545522,0.9791666666666666,0.9785407725321889,0.9777777777777777,0.975609756097561,0.9747842605224248,0.9753954305799648,0.9777424483306836,0.9803921568627451,0.9822294022617124,0.9819639278557114,0.9817408704352176,0.9795748228428511,0.9785202863961814,0.9782608695652174,0.9789473684210527,0.9770733959070627,0.9759474303200539,0.979381443298969,0.9836065573770492,0.9820859381512045,0.9821526561832822,0.9873060648801129,0.9930755891542868,0.9978293020371165,1.0,1.0,1.0,0.9954493742889647,0.9932088285229203,0.9924528301886792,1.0,1.0,1.0,1.0004001600640255,1.0000218186578615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.001038713632901,1.008695652173913,1.0144726136098154,1.010928961748634,1.0013351134846462,1.0,1.0,1.0,0.998211091234347,0.9892998471406734,0.9872611464968153,0.9946862004096726,1.0,1.0,1.0031796502384738,1.0099047893825737,1.0061681047866013,1.0022271714922049,1.0000016666694445,1.0,1.0,1.0,1.0,1.0,1.0001333511134818,1.004566210045662,1.0127287193370393,1.0114942528735633,1.0076130765785938,1.0002942041776994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0025062656641603,1.006674082313682,1.0050251256281406,1.0004448619434552,1.0,1.0,1.0,1.0,1.0
753899,2,"Los Angeles, CA",msa,CA,0.9976309555146091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9968652037617555,0.9937624220302754,0.992,0.9911950687310411,0.988658833155299,0.9911290322580645,0.9919935897435898,0.9946029298380878,0.9962298460716534,0.997364953886693,0.9953540728437982,0.995740144263485,0.9946914328875839,0.9943788627545151,0.9966677102706558,0.9944581725898215,0.9937212211686045,1.0,1.0,1.0,1.0,0.9991460290350128,1.0,1.0,1.0,1.0000148353852225,1.000245617227073,1.0001683561926549,1.0001225967989025,1.001280622089673,1.0125,1.0208237604404746,1.0256410256410255,1.0294811320754718,1.029810298102981,1.0226005969290517,1.0171825142982591,1.0167130919220055,1.0172413793103448,1.018181818181818,1.0177975528364849,1.0316122233930454,1.0452261306532664,1.0495575221238937,1.040499201668664,1.0250013666686029,1.0049067713444553,1.0,1.0,0.9956140350877193,0.9931876586394575,0.988812295174596,0.9869719699960521,0.992799995391997,1.0,1.0,1.0018050541516246,1.0067491563554556,1.0070843172662869,1.0072420062586318,1.0007147962830594,1.0000294069976658,1.0,1.0,1.0,1.0,1.0002273243919073,1.0038059025891726,1.0061021658359959,1.0029498525073746,1.0001898665509386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974968710888611,0.994413407821229,0.9949163660216465,0.9976470588235294,0.9927986837266753,0.9910913140311804
394463,3,"Chicago, IL",msa,IL,0.9712380158399333,0.9723188446578195,0.9761965054444163,0.97935722311471,0.9811320754716981,0.9811320754716981,0.9803921568627451,0.9789473684210527,0.9769230769230769,0.975975975975976,0.9736123748862603,0.9719839908519153,0.970973612134562,0.9733908956953321,0.9772727272727273,0.9789473684210527,0.9807692307692307,0.9806201550387597,0.979381443298969,0.978663723325975,0.9777171441564347,0.9765317372814617,0.9754877438719359,0.9730769230769231,0.9715814732600851,0.9733968726480975,0.97868638538495,0.9803921568627451,0.9777728373104095,0.9800608313619465,0.9833841980332316,0.9841269841269841,0.9854501350680853,0.9857142857142858,0.9857084524295631,0.9849757804479153,0.9839357429718876,0.9836734693877551,0.9911764705882353,1.0,1.0,1.0001428775539363,1.0,1.0,1.0,1.0,0.9942133627526312,0.993566833452466,0.9883513239586391,1.0,1.0,1.0005885815185402,1.0053571428571428,1.0045610093508492,1.0,1.0,0.9938461538461538,0.9895833333333334,0.9867531765341985,0.9829891316168481,0.98125,0.9857864357864359,1.0,1.0,1.0,1.0002857959416975,1.0000089286511487,1.0,1.0,1.0,1.0,0.9911510153661676,0.9892800462837296,0.9952718608903683,1.0,1.0,1.0002000400080016,1.000322684737012,1.0,1.0,1.0,1.0,0.9949296317717371,0.9891106719367588,0.9884541325170337,0.996078431372549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9969430342292958,0.9904406538734898,0.986159169550173
394514,4,"Dallas, TX",msa,TX,0.9878100042034468,0.9924202476942697,0.9968196169379602,1.0,1.0,1.0,0.9985710202915119,0.9917695473251029,0.9900826175332764,0.9884496912308371,0.9874913073713492,0.9853461344113188,0.9841698841698842,0.9872340425531915,0.9899749373433584,0.9917355371900827,0.9920396815872635,0.990896669743236,0.9909361578701824,0.9890509490509491,0.9868995633187773,0.9874599157202323,0.9878100042034468,0.9859154929577465,0.9857142857142858,0.9875483039931301,0.9909021934059871,0.9943661971830986,0.9926470588235294,0.995370339743924,0.9983996798719488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0044017607042817,1.021505376344086,1.0315789473684212,1.0364067827742378,1.031111111111111,1.0220440881763526,1.0110893672537509,1.0070422535211268,1.0072180614349289,1.0084033613445378,1.008888888888889,1.0232672512390393,1.0447056216561599,1.0538047973531843,1.05,1.0307692307692307,1.0075187969924813,1.0,0.9973787596303687,0.9916905444126074,0.9873934726760512,0.9849749582637729,0.9822222222222222,0.9865470852017937,0.9972719005759321,1.0,1.0,1.0,1.0,0.9983277591973244,0.9927007299270073,0.989749430523918,0.987012987012987,0.9855072463768116,0.9848888888888889,0.988,0.9955079396467571,0.9966654316413487,0.9984630745585762,0.9933319626464228,0.9906705410641078,0.9871559633027523,0.9867452135493373,0.9859943977591037,0.9842608157126427,0.9837925445705025,0.9824561403508771,0.9848484848484849,0.9874043855175931,0.9898132134209616,0.989463624229276,0.9880952380952381,0.9855740089707843,0.9838709677419355,0.981532147742818,0.9818181818181818,0.9821428571428571,0.9807985925034631,0.9813084112149533
394692,5,"Houston, TX",msa,TX,0.975609756097561,0.977237644211414,0.9785106957397824,0.9818181818181818,0.9818165286250393,0.9823529411764705,0.9814814814814815,0.9810126582278481,0.9791666666666666,0.9785021614674612,0.9782608695652174,0.9777093439478572,0.9766555502620295,0.978539967277255,0.9798183447376996,0.9817241727864429,0.9831673551594762,0.9830976198689203,0.9836612204068023,0.9809885931558935,0.980326775591864,0.9798061389337641,0.9807692307692307,0.9793707022296312,0.9782608695652174,0.9799196787148594,0.9826086956521739,0.9846153846153847,0.9830976198689203,0.984375,0.9859154929577465,0.986561403508772,0.9866534236037034,0.987427029346341,0.9877469367341836,0.98681218735789,0.9865593743356187,0.9895397489539749,0.99609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0015002727768685,1.0059810869344843,1.0000038461686391,1.0,1.0,0.9888887654293552,0.9860788113695091,0.982798340862857,0.9807692307692307,0.9789156626506024,0.9815425101073834,0.9849246231155779,0.991513232087813,0.9921739130434782,0.992,,,0.9845758354755784,0.9836065573770492,0.9823529411764705,0.979381443298969,0.9787609954138786,0.9821446109756514,0.9836363636363636,0.9866696266756563,0.9876137271529835,0.9871794871794872,0.985545335085414,0.984,0.9818181818181818,0.9819639278557114,0.9821446109756514,0.980147022053308,0.9781491002570694,0.9812403846153845,0.9826781727481944,0.9846827133479212,0.9862572051106402,0.9830508474576272,0.9824561403508771,0.98,0.9777777777777777,0.9765917851249477,0.9772021145177956,0.9759036144578314,0.9734810339039947
395209,6,"Washington, DC",msa,VA,0.9932324622243535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997237800148151,0.9940119760479041,0.9930344704411502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9971866208190059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0001614466663908,1.0112297121652718,1.0178571428571428,1.0232558139534884,1.0188679245283019,1.01,1.0002440151056593,1.0,1.0,1.0,1.0,1.0,1.0065971483294318,1.0208333333333333,1.0263157894736843,1.0222227901240877,1.008501416902817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0002986631679645,1.0076506810972197,1.0044219835754895,1.0002186858187123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0004037202703413,1.0073529411764706,1.0087719298245614,1.0010133210133212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
394974,7,"Philadelphia, PA",msa,PA,0.9786450662739322,0.98,0.9845758354755784,0.9855383708329599,0.99,0.9903732950772997,0.9883255503669113,0.9863429438543247,0.9846153846153847,0.9830508474576272,0.9811320754716981,0.9812285835293998,0.9792709077912795,0.9791400595998297,0.9839518394218155,0.9872611464968153,0.9904761904761905,0.9930666666666667,0.9909480705097665,0.9871018689128718,0.9849120484096703,0.9857142857142858,0.9856493653594008,0.9839183087027914,0.9791666666666666,0.9838998211091234,0.9894459102902374,0.9946573109262449,0.991337236929144,0.9948743341596966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0004001600640255,1.008695652173913,1.0081967213114753,1.0003334444814937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0142857142857142,1.0190045404512933,1.0175339422609662,1.0034013605442176,1.0,1.0,1.0,1.0,1.0,0.9905020352781547,1.0,1.0,1.0,1.0,1.0004168403501459,1.0007826245259044,1.0001562744178778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0002222716159146,1.000312597686777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9961484375
394856,8,"Miami, FL",msa,FL,0.9613160551336444,0.9636363636363636,0.9655172413793104,0.9653684072383675,0.9656652360515021,0.9668278046341057,0.9663483401546157,0.967741935483871,0.9688542439990102,0.9663480329512613,0.9655172413793104,0.965675057208238,0.9628337701990379,0.9649749821300929,0.965618426530284,0.9655172413793104,0.967032967032967,0.967741935483871,0.9684862027381712,0.968038721548862,0.9659090909090909,0.9689189189189189,0.967741935483871,0.966425923102624,0.9649789029535865,0.9666666666666667,0.968421052631579,0.9702850212249848,0.965,0.968158715946647,0.9705882352941176,0.9712918660287081,0.9712230215827338,0.9714726291441789,0.9729036950999889,0.970873786407767,0.9714285714285714,0.9713261648745519,0.9742120343839542,0.9769230769230769,0.9807692307692307,0.9857142857142858,0.989159891598916,0.9888888888888889,0.9879518072289156,0.9866666666666667,0.986159169550173,0.989159891598916,0.987501234376543,0.9955131800336512,1.0,1.0,1.0,1.0,1.0,0.987012987012987,0.981372671583948,0.9782547285679195,0.972972972972973,0.9720220569376763,0.968255505169908,0.970873786407767,0.9726443768996961,0.9726235583128617,0.9737766316694296,0.974910394265233,0.9775924164175047,0.9761904761904762,0.9785001773965422,0.9743602235403497,0.9729041643935261,0.9700784290077689,0.9669199125306962,0.9697067647147951,0.9705882352941176,0.9689750597294556,0.969932345894797,0.969743987587277,0.9702755309567803,0.9708121827411168,0.9691629955947136,0.968,0.967741935483871,0.9655172413793104,0.9617834394904459,0.9642857142857143,0.9663865546218487,0.9654473925201641,0.963855421686747,0.9635226581508516,0.9636767976278725,0.9629629629629629,0.9627406851712929,0.9629629629629629,0.9634619310063278,0.9631490787269682,0.9587272548648489
394347,9,"Atlanta, GA",msa,GA,0.9814035087719298,0.9853687667960586,0.9887614678899083,0.9933510638297872,0.99568345323741,0.9938752677826308,0.9921568627450981,0.988535849475596,0.9882352941176471,0.9863851069741595,0.9851385628854525,0.9846153846153847,0.9836065573770492,0.985663082437276,0.9882352941176471,0.9897895394873932,0.9917440572548352,0.9905717726673167,0.9906976744186047,0.9885350318471338,0.9871244635193133,0.9849246231155779,0.985981308411215,0.9859154929577465,0.9826589595375722,0.9864959189063424,0.9901325345943095,0.9956234437847156,0.9941075964402537,0.9929300510998168,0.9957602126138879,0.9963807672550744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0044017607042817,1.0109737461180583,1.0131971051511282,1.0127931769722816,1.008130081300813,1.0005955926146515,1.0002439024390244,1.0003195522694388,1.0002857959416975,1.0,1.0049875311720697,1.0154241645244215,1.0228310502283104,1.0240480961923848,1.0153846153846153,1.0002857959416975,1.0,1.0,0.9922279792746114,0.9893617021276596,0.9869375907111756,0.9859154929577465,0.9913597089586176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9951965869829624,0.9912622259305613,0.9888579387186629,0.9951189731677537,1.0,1.0,1.0,1.0,1.0,0.9930985209943254,0.9921618217748789,0.9903846153846154,0.9903069213905418,0.9885948235608031,0.98709932155321,0.9893675494881611,0.9923245244908265,0.9976309555146091,1.0,0.992462311557789,0.9910217070121605,0.9875,0.9866666666666667,0.9868421052631579,0.9872611464968153,0.9850966803997473,0.9818181818181818
